index,cost,sim_edges_bestLO,sim_nodes_bestLO,sim_edges_ILS,sim_nodes_ILS,avg_sim_edges_all,avg_sim_nodes_all
170,74392.0,52,87,49,86,45.966966966966964,86.13713713713713
171,76267.0,41,85,45,83,42.689689689689686,84.29329329329329
172,74453.0,46,86,51,88,43.65965965965966,87.11711711711712
173,75758.0,49,88,44,85,44.5015015015015,85.93993993993993
174,72900.0,55,91,58,93,46.374374374374376,88.2002002002002
175,73565.0,50,89,55,88,47.7967967967968,88.28528528528528
176,72331.0,52,88,62,89,49.070070070070074,87.68568568568568
177,75093.0,52,90,51,88,46.15715715715716,87.64364364364364
178,73213.0,52,89,55,90,44.650650650650654,87.75675675675676
179,74533.0,46,89,47,91,44.16016016016016,88.4104104104104
180,74139.0,47,91,45,88,44.130130130130134,87.45545545545545
181,74488.0,41,87,52,88,45.28328328328328,87.6036036036036
182,73838.0,48,91,50,90,45.067067067067065,89.26626626626627
183,77445.0,34,84,39,84,40.027027027027025,85.17717717717717
184,73279.0,51,92,62,92,47.386386386386384,88.33233233233233
185,73104.0,45,92,47,91,45.765765765765764,89.15715715715716
186,74337.0,51,88,47,86,45.226226226226224,87.54854854854855
187,74942.0,39,88,43,87,42.74274274274274,87.91791791791792
188,74428.0,49,88,55,89,44.553553553553556,87.35435435435436
189,74542.0,40,86,51,89,39.96396396396396,87.01301301301301
190,74282.0,44,87,53,88,44.13513513513514,87.21221221221221
191,74992.0,45,88,52,88,43.63663663663664,86.92492492492492
192,74847.0,46,88,51,89,43.348348348348345,86.48648648648648
193,71672.0,50,92,56,95,46.72472472472472,89.57257257257257
194,73273.0,53,91,54,89,46.74174174174174,88.45145145145145
195,72861.0,53,90,55,89,47.96196196196196,87.84184184184184
196,74138.0,44,90,44,89,43.271271271271274,88.18618618618619
197,73767.0,62,91,57,91,46.293293293293296,87.41741741741741
198,74030.0,47,88,52,87,43.648648648648646,86.07807807807808
199,74756.0,54,90,47,88,44.92092092092092,87.46746746746747
200,73548.0,58,91,56,91,47.95995995995996,88.7977977977978
201,72514.0,50,93,49,91,45.630630630630634,88.47147147147147
202,73963.0,50,90,50,88,43.72072072072072,86.5915915915916
203,74767.0,44,85,49,87,45.571571571571575,86.55255255255256
204,74698.0,46,88,54,89,45.27827827827828,87.4034034034034
205,73244.0,47,89,56,91,44.7007007007007,88.29129129129129
206,73435.0,53,90,51,91,45.768768768768766,88.2072072072072
207,72111.0,54,91,56,89,49.233233233233236,88.85785785785785
208,72024.0,55,88,58,92,48.034034034034036,87.75075075075075
209,73074.0,59,94,52,92,44.706706706706704,88.87987987987988
210,73265.0,49,90,57,90,47.5995995995996,88.94694694694695
211,74540.0,46,91,51,92,42.8018018018018,87.74374374374375
212,76790.0,46,85,44,85,39.434434434434436,85.86486486486487
213,73578.0,55,91,54,88,46.9019019019019,87.48948948948949
214,73634.0,54,90,56,89,46.605605605605604,88.06706706706707
215,72906.0,51,90,52,90,47.669669669669666,88.7977977977978
216,71742.0,62,92,58,93,47.474474474474476,88.74674674674675
217,74611.0,49,89,54,89,45.21721721721722,87.02102102102103
218,72575.0,59,94,66,95,47.491491491491495,89.13313313313313
219,72387.0,53,90,55,91,47.374374374374376,88.17717717717717
220,74146.0,43,91,47,88,43.01601601601602,87.74274274274275
221,75280.0,49,89,52,88,42.126126126126124,85.90390390390391
222,72626.0,55,91,61,96,46.11511511511512,88.18518518518519
223,73998.0,48,90,43,90,43.11511511511512,88.50050050050051
224,73642.0,50,90,51,91,45.588588588588586,87.996996996997
225,73684.0,50,91,56,92,44.74074074074074,87.65665665665665
226,75339.0,38,86,53,88,43.992992992992995,87.17517517517517
227,73221.0,52,89,62,90,48.050050050050054,88.53853853853853
228,74294.0,49,90,47,91,43.572572572572575,88.68568568568568
229,73234.0,48,91,60,93,45.509509509509506,87.85985985985985
230,72568.0,50,91,60,92,47.251251251251254,87.74374374374375
231,73864.0,44,90,55,89,44.71571571571572,88.52052052052052
232,74172.0,49,88,49,86,45.130130130130134,87.8058058058058
233,73259.0,52,91,53,91,45.733733733733736,89.02902902902903
234,73709.0,48,93,57,95,44.605605605605604,88.92792792792793
235,72157.0,54,92,56,91,46.53553553553554,87.23523523523524
236,73988.0,51,90,52,88,45.688688688688686,87.58458458458459
237,72862.0,47,90,54,91,44.51951951951952,87.50050050050051
238,72888.0,46,87,53,89,45.54454454454454,86.45845845845845
239,71773.0,51,92,58,92,46.4964964964965,87.98298298298299
240,72179.0,50,89,55,90,48.96396396396396,89.1941941941942
241,74539.0,47,89,48,89,43.7037037037037,86.61661661661661
242,74147.0,54,90,50,90,43.712712712712715,88.34134134134135
243,73038.0,49,91,59,91,45.42342342342342,87.6066066066066
244,75264.0,46,86,47,86,41.64264264264264,85.76776776776777
245,75247.0,49,89,52,88,42.46146146146146,85.10410410410411
246,72238.0,55,91,60,90,50.26226226226226,89.27327327327328
247,73502.0,43,90,55,89,47.28528528528528,87.83283283283284
248,74501.0,43,88,46,88,43.471471471471475,88.04004004004004
249,73798.0,50,86,50,88,42.431431431431434,86.30430430430431
250,72801.0,50,87,48,88,45.7017017017017,86.84384384384384
251,74587.0,51,88,49,88,43.688688688688686,86.07307307307308
252,72940.0,51,90,52,93,45.927927927927925,88.25025025025025
253,73560.0,51,92,52,91,46.28428428428428,89.96196196196196
254,74694.0,47,90,55,91,46.1031031031031,88.30830830830831
255,73944.0,46,89,48,88,45.97797797797798,88.26726726726727
256,73067.0,50,89,55,90,45.985985985985984,87.09409409409409
257,74006.0,47,90,54,89,45.434434434434436,88.41641641641641
258,74309.0,45,89,46,85,45.210210210210214,87.27927927927928
259,74891.0,45,89,44,86,45.08208208208208,88.55555555555556
260,73543.0,50,90,56,90,46.51651651651652,87.74374374374375
261,74774.0,48,90,47,90,43.6016016016016,89.06806806806807
262,73524.0,50,89,58,93,45.88188188188188,89.15515515515516
263,74812.0,51,91,50,91,44.61561561561562,88.82582582582583
264,72870.0,51,88,61,89,48.112112112112115,87.96296296296296
265,74762.0,49,89,52,89,45.52252252252252,87.87287287287288
266,74299.0,39,87,52,89,45.152152152152155,87.33933933933933
267,73030.0,51,91,58,91,47.4054054054054,88.62162162162163
268,73153.0,51,88,53,91,45.326326326326324,86.8018018018018
269,74201.0,48,91,42,88,44.96296296296296,88.5995995995996
270,71589.0,57,91,66,91,50.3953953953954,89.25425425425425
271,73460.0,53,90,50,88,46.68068068068068,88.28428428428428
272,74649.0,45,88,47,87,46.269269269269266,87.8028028028028
273,72714.0,54,93,49,92,45.87887887887888,88.46546546546547
274,73284.0,52,94,55,94,46.31831831831832,89.08008008008008
275,73860.0,50,90,49,89,45.3963963963964,87.97697697697697
276,74449.0,45,88,49,89,43.927927927927925,86.47647647647648
277,72550.0,52,90,61,94,46.28128128128128,88.41241241241241
278,75538.0,45,88,51,88,42.228228228228225,87.05005005005005
279,74910.0,41,89,43,87,44.51551551551552,88.10510510510511
280,73174.0,53,91,58,92,46.75875875875876,88.95695695695696
281,73715.0,54,91,50,90,46.96096096096096,89.10610610610611
282,74622.0,51,88,50,91,41.47647647647648,85.98998998999
283,73563.0,50,88,56,89,44.6986986986987,86.65665665665665
284,75248.0,45,87,48,91,42.4044044044044,88.06206206206207
285,74372.0,41,89,45,85,42.06306306306306,85.90390390390391
286,73498.0,40,89,52,90,42.953953953953956,86.96896896896897
287,72972.0,51,91,50,89,48.26326326326326,88.53253253253253
288,72518.0,54,90,56,91,47.82282282282282,88.58458458458459
289,74044.0,48,89,50,89,45.653653653653656,87.50550550550551
290,74832.0,53,91,48,89,42.84484484484484,85.76576576576576
291,72932.0,50,89,51,91,47.272272272272275,88.49449449449449
292,74352.0,52,91,52,91,45.226226226226224,88.85385385385385
293,73544.0,48,89,52,89,44.56456456456456,87.63963963963964
294,76999.0,46,86,48,85,44.42542542542542,85.97597597597597
295,75230.0,47,89,48,87,43.24424424424424,87.32832832832833
296,74635.0,45,89,54,86,44.825825825825824,86.46546546546547
297,73238.0,55,93,54,95,44.250250250250254,88.02402402402403
298,72471.0,55,90,55,92,46.885885885885884,88.94794794794795
299,73023.0,52,89,51,88,47.130130130130134,88.30130130130131
300,74009.0,54,88,56,89,46.608608608608606,86.5945945945946
301,73384.0,51,89,54,91,46.993993993993996,88.57757757757757
302,73164.0,47,89,51,89,44.170170170170174,86.94394394394395
303,73578.0,44,87,51,88,45.27627627627628,87.4004004004004
304,74230.0,39,91,45,93,41.72172172172172,89.33633633633633
305,73604.0,49,92,56,92,46.866866866866864,88.82782782782783
306,73747.0,45,89,50,89,44.53953953953954,87.03603603603604
307,73931.0,44,91,50,90,45.0980980980981,88.89289289289289
308,74564.0,54,90,54,88,45.04104104104104,86.96796796796797
309,74889.0,47,87,52,89,43.91691691691692,86.05405405405405
310,72833.0,53,92,52,91,47.2002002002002,88.68668668668668
